JENIS KELAMIN,KOTA LAHIR,AGAMA,KECAMATAN,ANGKATAN,TAHUN RAPORT 3,BIDANG STUDI KEAHLIAN,PROGRAM STUDI KEAHLIAN,KOMPETENSI KEAHLIAN,ASAL SEKOLAH
1,18,1,10,2,2,1,2,2,82
1,18,1,10,2,2,1,2,2,15
1,60,2,10,2,2,1,2,2,75
1,71,1,16,2,2,1,2,2,72
2,18,2,10,2,2,1,2,2,72
1,25,1,16,2,2,1,2,2,72
1,18,1,10,2,2,1,2,2,82
1,18,1,16,2,2,1,2,2,82
1,18,1,16,2,2,1,2,2,115
1,18,1,16,2,2,1,2,2,113
1,18,1,10,2,2,1,2,2,9
1,50,2,16,2,2,1,2,2,82
2,18,1,10,2,2,1,2,2,115
1,18,1,16,2,2,1,2,2,76
1,18,1,10,2,2,1,2,2,71
2,18,1,16,2,2,1,2,2,79
1,18,1,10,2,2,1,2,2,113
2,60,1,14,2,2,1,2,2,56
1,29,1,16,2,2,1,2,2,66
1,48,1,16,2,2,1,2,2,72
1,18,1,16,2,2,1,2,2,82
1,47,1,10,2,2,1,2,2,113
1,18,1,10,2,2,1,2,2,80
1,18,2,10,2,2,1,2,2,9
2,18,1,16,2,2,1,2,2,113
1,18,1,10,2,2,1,2,2,106
1,18,1,10,2,2,1,2,2,82
1,18,1,10,2,2,1,2,2,44
1,18,2,10,2,2,1,2,2,39
2,60,2,14,2,2,1,2,2,2
2,18,1,10,2,2,1,2,2,7
1,60,1,16,2,2,1,2,2,5
1,18,1,16,2,2,1,2,2,113
1,18,1,10,2,2,1,2,2,76
1,18,3,10,2,2,1,2,2,76
1,18,1,16,2,2,1,2,2,82
1,18,1,10,2,2,1,2,2,82
1,32,1,10,2,2,1,2,2,99
2,60,1,6,2,2,1,2,2,72
1,18,1,10,2,2,1,2,2,38
1,18,1,16,2,2,1,2,2,82
1,18,1,6,2,2,1,2,2,75
2,18,1,16,2,2,1,2,2,71
1,52,1,16,1,2,1,2,2,74
1,11,1,10,2,2,1,2,2,71
1,18,1,16,2,2,1,2,2,15
1,18,2,16,2,2,1,2,2,9
1,18,1,7,2,2,1,2,2,71
1,58,1,6,2,2,1,2,2,75
1,18,1,10,2,2,1,2,2,106
2,18,1,10,2,2,1,2,2,73
1,66,1,16,2,2,1,2,2,51
1,18,1,16,2,2,1,2,2,57
2,18,1,10,2,2,1,2,2,15
2,18,1,16,2,2,1,2,2,51
1,21,1,16,2,2,1,2,2,75
1,18,2,16,1,2,1,2,2,1
1,18,1,10,2,2,1,2,2,36
1,18,1,10,2,2,1,2,2,69
2,18,1,10,2,2,1,2,2,50
2,18,4,10,2,2,1,2,2,53
2,18,1,16,2,2,1,2,2,80
1,18,1,10,2,2,1,2,2,71
1,18,1,10,2,2,1,2,2,1
1,18,4,10,2,2,1,2,2,79
2,18,1,16,2,2,1,2,2,115
2,18,1,10,2,2,1,2,2,33
1,21,1,10,2,2,1,2,2,9
1,18,1,16,2,2,1,2,2,36
1,18,1,10,2,2,1,2,2,115
2,18,1,16,2,2,1,2,2,58
1,18,2,16,2,2,1,2,2,44
2,18,4,16,2,2,1,2,2,44
1,18,1,10,2,2,1,2,2,71
1,18,1,10,2,2,1,2,2,35
1,18,1,16,2,2,1,2,2,38
1,35,2,14,2,2,1,2,2,13
1,18,4,10,2,2,1,2,2,82
1,18,1,10,2,2,1,2,2,46
1,18,1,16,2,2,1,2,2,73
1,18,1,10,2,2,1,2,2,15
2,18,4,10,2,2,1,2,2,82
1,60,1,16,2,2,1,2,2,32
1,18,2,16,2,2,1,2,2,75
1,18,2,10,2,2,1,2,2,115
1,18,1,16,2,2,2,3,3,65
1,19,1,16,1,1,2,3,3,113
1,3,2,16,2,2,2,3,3,82
2,18,2,7,2,2,2,3,3,39
2,18,1,16,2,2,2,3,3,47
2,18,1,16,2,2,2,3,3,113
1,18,1,10,2,2,2,3,3,37
2,18,2,16,2,2,2,3,3,15
1,60,2,7,2,2,2,3,3,10
2,18,2,10,2,2,2,3,3,82
1,18,1,16,2,2,2,3,3,72
